code,en_name,en_simp,cn_name,cn_simp
0252,aucklanduniversityoftechnology,auot,奥克兰理工大学,奥克兰理工
0253,autonomousuniversityofmadrid,auom,马德里自治大学,马德里自治
0254,universityofbath,uob,巴斯大学,巴斯
0255,brightonandsussexmedicalschool,basms,布莱顿与萨塞克斯医学院,布莱顿与萨塞克斯医
0256,universityatbuffalo,uab,纽约州立大学水牛城分校,纽约州立水牛城分校
0257,"universityofcalifornia,riverside",uocr,加州大学河滨分校,加州河滨分校
0258,chalmersuniversityoftechnology,cuot,查尔姆斯工业大学,查尔姆斯工业
0259,universityofcincinnati,uoc,辛辛那提大学,辛辛那提
0260,curtinuniversity,cu,科廷大学,科廷
0261,dalhousieuniversity,du,戴尔豪斯大学,戴尔豪斯
0262,universityofdelaware,uod,特拉华大学,特拉华
0263,écoledespontsparistech,édpp,巴黎高等路桥学院,巴黎高等路桥
0264,universityofessex,uoe,埃塞克斯大学,埃塞克斯
0265,flindersuniversity,fu,佛林德斯大学,佛林德斯
0266,floridastateuniversity,fsu,佛罗里达州立大学,佛罗里达州立
0267,georgemasonuniversity,gmu,乔治梅森大学,乔治梅森
0268,"heriot,wattuniversity",hwu,赫瑞瓦特大学,赫瑞瓦特
0269,higherschoolof economics,hso,俄罗斯高等经济学院,俄罗斯高等经济
0270,universityofillinoisatchicago,uoiac,伊利诺伊大学芝加哥分校,伊利诺伊芝加哥分校
0271,universityofkiel,uok,基尔大学（德国）,基尔（德国）
0272,latrobeuniversity,ltu,拉筹伯大学,拉筹伯
0273,lavaluniversity,lu,拉瓦尔大学,拉瓦尔
0274,macauuniversityofscienceandtechnology,muosat,澳门科技大学,澳门科技
0275,medicaluniversityofinnsbruck,muoi,因斯布鲁克医科大学,因斯布鲁克医科
0276,"nationaluniversityofireland,galway",nuoig,高威大学,高威
0277,universityofnavarra,uon,纳瓦拉大学,纳瓦拉
0278,universityoforegon,uoo,俄勒冈大学,俄勒冈
0279,oregonhealthandscienceuniversity,ohasu,俄勒冈健康科学大学,俄勒冈健康科学
0280,universityofoulu,uoo,奥卢大学,奥卢
0281,universityofpassau,uop,帕绍大学,帕绍
0282,universityofpotsdam,uop,波茨坦大学,波茨坦
0283,queen’suniversity,qu,皇后大学,皇后
0284,"royalholloway,universityoflondon",rhuol,伦敦大学皇家霍洛威学院,伦敦皇家霍洛威
0285,ruhruniversitybochum,rub,波鸿大学,波鸿
0286,universityofsãopaulo,uosp,圣保罗大学,圣保罗
0287,sapienzauniversityofrome,suor,罗马第一大学,罗马第一
0288,simonfraseruniversity,sfu,西门菲莎大学,西门菲莎
0289,universityofsouthaustralia,uosa,南澳大学,南澳
0290,universityofsoutherndenmark,uosd,南丹麦大学,南丹麦
0291,stellenboschuniversity,su,斯泰伦博斯大学,斯泰伦博斯
0292,universityofstuttgart,uos,斯图加特大学,斯图加特
0293,"sunyat,senuniversity",sysu,中山大学,中山
0294,universityofsurrey,uos,萨里大学,萨里
0295,swanseauniversity,su,斯旺西大学,斯旺西
0296,syracuseuniversity,su,雪城大学,雪城
0297,tampereuniversity,tu,坦佩雷理工大学,坦佩雷理工
0298,technicaluniversityofdarmstadt,tuod,达姆施塔特工业大学,达姆施塔特工业
0299,tohokuuniversity,tu,东北大学（日本）,东北（日本）
0300,tokyoinstituteoftechnology,tiot,东京工业大学,东京工业
0301,westernsydneyuniversity,wsu,西悉尼大学,西悉尼
0302,"aix,marseilleuniversity",amu,马赛大学,马赛
0303,angliaruskinuniversity,aru,安格利亚鲁斯金大学,安格利亚鲁斯金
0304,beijingnormaluniversity,bnu,北京师范大学,北京师范
0305,bostoncollege,bc,波士顿学院,波士顿
0306,universityofcanterbury,uoc,坎特伯雷大学（新西兰）,坎特伯雷（新西兰）
0307,coloradoschoolofmines,csom,科罗拉多矿业学院,科罗拉多矿业
0308,cyprusuniversityoftechnology,cuot,塞浦路斯理工大学,塞浦路斯理工
0309,deakinuniversity,du,迪肯大学,迪肯
